	P9723_1001_S1_L001	P9723_1002_S2_L001	P9723_1003_S3_L001	P9723_1004_S4_L001	P9723_1005_S5_L001	P9723_1006_S6_L001	P9723_1009_S9_L001	P9723_1010_S10_L001	P9723_1011_S11_L001	P9723_1012_S12_L001	P9723_1013_S13_L001	P9723_1014_S14_L001	P9723_1015_S15_L001	P9723_1016_S16_L001	P9723_1017_S17_L001	P9723_1018_S18_L001	P9723_1019_S19_L001	P9723_1020_S20_L001	P9723_1021_S21_L001	P9723_1022_S22_L001	P9723_1023_S23_L001	P9723_1024_S24_L001	P9723_1025_S25_L001	P9723_1026_S26_L001	P9723_1027_S27_L001	P9723_1028_S28_L001	P9723_1029_S29_L001	P9723_1030_S30_L001	P9723_1031_S31_L001	P9723_1032_S32_L001	P9723_1033_S33_L001	P9723_1034_S34_L001	P9723_1035_S35_L001	P9723_1036_S36_L001	P9723_1037_S37_L001	P9723_1038_S38_L001	P9723_1039_S39_L001	P9723_1040_S40_L001	P9723_1041_S41_L001	P9723_1042_S42_L001	P9723_1043_S43_L001	P9723_1044_S44_L001	P9723_1045_S45_L001	P9723_1046_S46_L001	P9723_1047_S47_L001	P9723_1048_S48_L001	P9723_1049_S49_L001	P9723_1050_S50_L001	P9723_1051_S51_L001	P9723_1052_S52_L001	P9723_1053_S53_L001	P9723_1054_S54_L001	P9723_1055_S55_L001	P9723_1056_S56_L001	P9723_1058_S58_L001	P9723_1059_S59_L001	P9723_1060_S60_L001	P9723_1061_S61_L001	P9723_1062_S62_L001	P9723_1063_S63_L001	P9723_1064_S64_L001	P9723_1065_S65_L001	P9723_1066_S66_L001	P9723_1067_S67_L001	P9723_1068_S68_L001	P9723_1069_S69_L001	P9723_1070_S70_L001	P9723_1071_S71_L001	P9723_1072_S72_L001	P9723_1073_S73_L001	P9723_1074_S74_L001	P9723_1075_S75_L001	P9723_1077_S77_L001	P9723_1078_S78_L001	P9723_1079_S79_L001	P9723_1081_S81_L001	P9723_1082_S82_L001	P9723_1083_S83_L001	P9723_1085_S85_L001	P9723_1086_S86_L001	P9723_1087_S87_L001	P9723_1089_S89_L001	P9723_1090_S90_L001	P9723_1091_S91_L001	P9723_1093_S93_L001	P9723_1094_S94_L001	P9723_1095_S95_L001
ASV1	14663	12	0	0	16004	28	2197	0	0	0	2685	7	0	0	60911	13	6	13	80082	15	8	0	2751	89792	8	16	2578	30702	14	0	166	4601	0	0	143	3798	0	0	131	9237	0	26	125	13011	0	0	0	8	0	0	5	0	0	0	17	38340	0	7	28	32734	0	0	34	520	0	0	44	840	0	0	0	74	0	0	60	0	0	211	0	0	199	8	0	0	0	0	0
ASV2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	3	4	56506	0	0	0	46392	0	0	0	34521	0	0	0	32156	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	5	0	0	3	0	10	0
ASV3	0	0	14655	5745	0	0	0	0	23937	861	0	0	19672	796	0	0	17220	618	0	0	18222	567	0	0	66	552	0	0	81	643	0	0	3386	3974	0	0	3993	3434	0	0	1416	3324	0	0	1564	2720	355	0	0	0	522	0	0	0	0	0	1069	0	0	0	964	0	0	0	0	0	0	0	0	204	0	0	179	0	0	1460	2	0	2523	0	0	830	12459	0	1032	13991	0
ASV4	0	9	2701	0	0	9	0	0	1146	2639	0	0	1121	2859	4	0	1402	9043	0	3	1625	8093	0	0	0	1969	0	0	0	3109	0	0	0	669	0	7	0	678	0	0	72	803	0	0	38	529	4770	0	0	0	7138	0	0	0	986	0	85	1924	846	0	80	3034	7173	0	0	3636	7145	53	3	740	3481	1401	595	2782	1773	1151	9945	4878	1722	8362	5219	2776	2501	6165	3205	2979	7586
ASV5	77	700	3797	100	134	578	212	816	754	137	133	913	668	143	143	854	935	44	190	957	1009	74	515	0	2135	75	472	0	2092	82	1005	192	2692	140	1098	157	2980	121	1184	15	2644	583	1340	30	2927	534	853	0	11	19311	1568	0	6	10758	0	15	12936	1437	10	0	10292	1163	0	12	14818	1401	0	0	8040	190	451	0	202	255	0	692	357	0	1050	312	0	1891	294	0	2268	343	0
ASV6	0	38122	0	0	0	36635	0	22865	0	0	0	25993	15	0	0	0	0	0	0	5	0	0	0	0	723	0	0	0	643	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	7	0	117	0	0	0	88	0	0	97	0	0	0	160	0	0	0	24	0	6	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV7	29034	0	8	2656	31732	0	76	0	24	1130	81	0	23	1235	417	0	0	46	556	0	0	58	3737	266	0	25	3391	92	0	18	812	489	0	0	1016	429	0	7	2308	846	4	0	2144	1297	0	0	0	96	9	0	0	51	0	0	455	4204	0	0	448	3916	0	28	13	41	0	46	0	75	0	0	111	9159	0	68	9278	0	62	1276	0	57	1330	0	439	3344	0	368	3498
ASV8	0	380	52	0	0	244	7	20	17	0	0	20	16	0	0	0	39	0	0	0	12	0	0	0	13721	0	0	0	12860	0	0	10	26846	0	0	0	27682	0	0	0	13730	0	0	0	12858	0	0	0	0	21	0	0	0	0	0	0	444	0	0	0	293	0	0	9	2621	0	0	0	1513	183	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV9	0	0	1344	9675	0	0	0	0	1744	0	5	0	1504	0	0	0	0	801	0	0	0	785	0	0	0	187	0	0	0	340	0	0	0	0	0	0	0	0	0	0	0	7162	0	0	0	5305	4660	0	0	0	7777	0	0	0	0	0	0	3570	0	0	0	156	0	0	0	179	0	0	0	5059	2803	0	5255	2267	0	9754	0	0	17628	0	0	10108	0	0	13581	0	0
ASV10	3	26074	0	0	0	27915	6	25811	0	0	18	28154	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV11	2	0	11	3325	0	0	0	0	967	2898	0	0	872	3129	0	0	102	11481	3	0	116	10449	0	0	83	3730	0	0	77	3862	0	0	278	3011	0	0	286	2045	0	0	182	424	0	13	214	271	1039	25	0	0	1526	11	0	0	702	0	0	1689	762	0	0	454	0	9	66	508	0	15	25	1607	335	980	1429	236	1103	2200	1248	2540	3710	1162	2679	821	5077	3875	1035	5154	4410
ASV12	0	55	0	0	0	41	0	17842	0	0	0	18731	0	0	0	25878	0	0	2	22605	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV13	3672	0	0	5	3230	0	181	0	0	0	247	0	0	0	2415	0	0	0	2239	0	0	0	17	3976	0	0	13	1461	0	0	21	3248	0	0	35	2302	0	0	33	1652	0	0	12	2286	0	0	0	0	0	0	0	0	0	0	0	24319	0	0	0	20233	0	0	0	1807	0	0	0	2493	0	0	0	78	0	0	60	0	0	48	0	0	51	0	0	198	0	0	237
ASV14	84	0	12	154	91	7	67	10	21	458	145	16	9	498	0	30	38	1271	0	22	25	1098	1703	0	0	564	1711	7	0	565	8520	0	0	0	11527	6	0	36	6296	30	15	120	5827	32	22	85	3232	97	15	273	4090	63	16	136	104	42	81	3226	69	30	70	4683	12	0	305	5750	15	64	215	13	326	424	12	340	545	27	1026	560	40	964	434	950	81	547	1163	110	481
