	Kingdom	Phylum	Class	Order	Family	Genus	Species	ASV_id	ASV_id	taxa_name
ASV1	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[1]	ASV1	g_Archaeorhizomyces [1]
ASV2	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Hygrophoraceae	g__Hygrophorus	s__saxatilis	[2]	ASV2	g_Hygrophorus s  saxatilis [2]
ASV3	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Tylosporaceae	g__Tylospora	s__fibrillosa	[3]	ASV3	g_Tylospora s  fibrillosa [3]
ASV4	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Tylosporaceae	g__Tylospora	s__asterophora	[4]	ASV4	g_Tylospora s  asterophora [4]
ASV5	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	Unknown	Unknown	[5]	ASV5	f_Hyaloscyphaceae [5]
ASV6	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[6]	ASV6	g_Archaeorhizomyces [6]
ASV7	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[7]	ASV7	g_Archaeorhizomyces [7]
ASV8	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[8]	ASV8	g_Archaeorhizomyces [8]
ASV9	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Tylosporaceae	g__Tylospora	s__fibrillosa	[9]	ASV9	g_Tylospora s  fibrillosa [9]
ASV10	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__paludosa	[10]	ASV10	g_Russula s  paludosa [10]
ASV11	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Tylosporaceae	g__Amphinema	Unknown	[11]	ASV11	g_Amphinema [11]
ASV12	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__vinosa	[12]	ASV12	g_Russula s  vinosa [12]
ASV13	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[13]	ASV13	g_Archaeorhizomyces [13]
ASV14	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Trimorphomycetaceae	g__Saitozyma	s__podzolica	[14]	ASV14	g_Saitozyma s  podzolica [14]
ASV15	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[15]	ASV15	g_Archaeorhizomyces [15]
