Sample	Top over-represented sequence	Sum of remaining over-represented sequences
P9723_1001_S1_L001_R1_001	50.48181676370096	42.92773503348816
P9723_1001_S1_L001_R2_001	39.604079969002704	48.21639736925527
P9723_1002_S2_L001_R1_001	57.6360068830734	35.76200450047107
P9723_1002_S2_L001_R2_001	44.613839337854564	45.01833669441178
P9723_1003_S3_L001_R1_001	56.4637548660013	37.11439320555659
P9723_1003_S3_L001_R2_001	23.106839792916045	63.487848148107815
P9723_1004_S4_L001_R1_001	69.18525102617623	24.07793945809904
P9723_1004_S4_L001_R2_001	42.758341739156485	45.5522376134786
P9723_1005_S5_L001_R1_001	48.07091058595075	44.95742298740574
P9723_1005_S5_L001_R2_001	37.7246732975002	47.96777805135254
P9723_1006_S6_L001_R1_001	61.1087950182721	32.26404960695279
P9723_1006_S6_L001_R2_001	48.66724506390538	40.06565184242058
P9723_1009_S9_L001_R1_001	39.139797614839836	53.746612732199665
P9723_1009_S9_L001_R2_001	16.846666404848865	68.32920970296766
P9723_1010_S10_L001_R1_001	67.54740487144525	26.63305245190847
P9723_1010_S10_L001_R2_001	54.08520614865462	35.404792968481814
P9723_1011_S11_L001_R1_001	59.382674704175045	33.964054476445625
P9723_1011_S11_L001_R2_001	30.33429508647191	56.56482387895652
P9723_1012_S12_L001_R1_001	71.24502495901115	22.040117267734914
P9723_1012_S12_L001_R2_001	27.467102255758245	59.13914267777581
P9723_1013_S13_L001_R1_001	35.1432204418228	57.83636622646187
P9723_1013_S13_L001_R2_001	20.395920499332572	63.93820601161805
P9723_1014_S14_L001_R1_001	66.29613232985874	27.754658510081697
P9723_1014_S14_L001_R2_001	52.22602326236567	36.303779128265006
P9723_1015_S15_L001_R1_001	60.312370059409545	32.84556365024123
P9723_1015_S15_L001_R2_001	30.25102386065242	58.01801083384123
P9723_1016_S16_L001_R1_001	69.34619988871967	24.040488059844108
P9723_1016_S16_L001_R2_001	25.64056449482659	60.89057995042967
P9723_1017_S17_L001_R1_001	65.98520819899564	27.841608535084134
P9723_1017_S17_L001_R2_001	58.64108877034605	29.99736209625417
P9723_1018_S18_L001_R1_001	88.34892249038803	6.9448483086168125
P9723_1018_S18_L001_R2_001	77.72285225033116	13.083583729120235
P9723_1019_S19_L001_R1_001	67.80408396401543	25.96487219762959
P9723_1019_S19_L001_R2_001	28.768813365700414	58.31272311866343
P9723_1020_S20_L001_R1_001	72.07806367204536	21.68348804851206
P9723_1020_S20_L001_R2_001	41.054555271738	46.72865657383755
P9723_1021_S21_L001_R1_001	71.02165883143049	22.913028878441906
P9723_1021_S21_L001_R2_001	62.23849899261249	25.345449966420404
P9723_1022_S22_L001_R1_001	86.73301687675713	8.20645871743318
P9723_1022_S22_L001_R2_001	75.8352868548165	14.758611484203584
P9723_1023_S23_L001_R1_001	68.06958569868684	25.36745159243317
P9723_1023_S23_L001_R2_001	28.927916030665273	58.79854334242313
P9723_1024_S24_L001_R1_001	67.23187707170652	26.65649552983504
P9723_1024_S24_L001_R2_001	36.522166949106214	50.68903654154844
P9723_1025_S25_L001_R1_001	63.03474378881988	30.51387810559008
P9723_1025_S25_L001_R2_001	35.08249223602484	52.60335791925464
P9723_1026_S26_L001_R1_001	57.16864453677432	36.07863461082367
P9723_1026_S26_L001_R2_001	48.12944142371512	39.93438331737572
P9723_1027_S27_L001_R1_001	54.36508109474638	39.04011367648405
P9723_1027_S27_L001_R2_001	25.140025193637953	61.8987634195351
P9723_1028_S28_L001_R1_001	73.1249153624422	19.734576618753792
P9723_1028_S28_L001_R2_001	30.470165663913125	53.87140250075774
P9723_1029_S29_L001_R1_001	65.97966010068588	27.54586613508127
P9723_1029_S29_L001_R2_001	37.94092306652701	48.63753083082742
P9723_1030_S30_L001_R1_001	54.42591999460562	37.629170108393325
P9723_1030_S30_L001_R2_001	38.45181301731259	39.25001264307747
P9723_1031_S31_L001_R1_001	53.285653096393105	39.95477682262356
P9723_1031_S31_L001_R2_001	23.704814176569613	64.48137781275214
P9723_1032_S32_L001_R1_001	69.45960986027764	23.7866413993292
P9723_1032_S32_L001_R2_001	29.753041856547704	57.22450330129798
P9723_1033_S33_L001_R1_001	68.32221733193396	25.170689869203613
P9723_1033_S33_L001_R2_001	20.655449097741815	66.17688548825768
P9723_1034_S34_L001_R1_001	41.66492950513776	50.93120331908014
P9723_1034_S34_L001_R2_001	25.60745572780289	61.017078416318796
P9723_1035_S35_L001_R1_001	43.52211769373293	49.855024753415485
P9723_1035_S35_L001_R2_001	22.451537750541284	64.40952658301572
P9723_1036_S36_L001_R1_001	80.63111930785712	12.96140598302189
P9723_1036_S36_L001_R2_001	31.850686628154012	54.98991981051053
P9723_1037_S37_L001_R1_001	66.45857411947259	26.846338117728934
P9723_1037_S37_L001_R2_001	19.11265391983171	67.0636555235174
P9723_1038_S38_L001_R1_001	40.84116720099984	52.05836004999184
P9723_1038_S38_L001_R2_001	22.608813780361896	61.682334401999626
P9723_1039_S39_L001_R1_001	44.55217721160179	48.49100019175137
P9723_1039_S39_L001_R2_001	22.146448014539754	65.68150933328889
P9723_1040_S40_L001_R1_001	81.55219867039767	12.60479093526088
P9723_1040_S40_L001_R2_001	32.286237983876994	55.23595557266561
P9723_1041_S41_L001_R1_001	65.13746447908505	27.84430437477343
P9723_1041_S41_L001_R2_001	22.677838457310585	64.24520248383284
P9723_1042_S42_L001_R1_001	50.56061901961832	41.81255679692095
P9723_1042_S42_L001_R2_001	19.280884161009247	65.86972790933876
P9723_1043_S43_L001_R1_001	46.62074903142488	46.37145739233236
P9723_1043_S43_L001_R2_001	17.040497041268047	68.51536548852809
P9723_1044_S44_L001_R1_001	77.78796428083007	15.993091187211618
P9723_1044_S44_L001_R2_001	54.714859519118264	33.496598777281946
P9723_1045_S45_L001_R1_001	62.961535298713045	29.59633649932158
P9723_1045_S45_L001_R2_001	21.774906459438345	63.09053904033553
P9723_1046_S46_L001_R1_001	49.27497575169738	43.18380213385062
P9723_1046_S46_L001_R2_001	19.27303588748788	64.67070805043643
P9723_1047_S47_L001_R1_001	49.393280446717405	43.11467268017024
P9723_1047_S47_L001_R2_001	16.038470315037788	70.16000214767988
P9723_1048_S48_L001_R1_001	77.12511219282096	16.56915991325937
P9723_1048_S48_L001_R2_001	53.56167165665393	34.90392363681626
P9723_1049_S49_L001_R1_001	79.11111486144395	14.684240726364465
P9723_1049_S49_L001_R2_001	57.88048064265704	31.060350356094098
P9723_1050_S50_L001_R1_001	78.75679958690563	15.190121346474001
P9723_1050_S50_L001_R2_001	37.43845873062507	50.891625045627364
P9723_1051_S51_L001_R1_001	42.42238267148014	50.1357400722022
P9723_1051_S51_L001_R2_001	23.023826714801444	60.971119133574106
P9723_1052_S52_L001_R1_001	56.062023480986014	37.045699050470105
P9723_1052_S52_L001_R2_001	37.004771036998925	50.1537723934702
P9723_1053_S53_L001_R1_001	79.51051013100805	14.504612662706947
P9723_1053_S53_L001_R2_001	57.92946206664139	30.546253001390127
P9723_1054_S54_L001_R1_001	76.05399150022946	17.66296215008282
P9723_1054_S54_L001_R2_001	33.43941419421776	54.15710608751172
P9723_1055_S55_L001_R1_001	45.6425270354162	47.276531495972485
P9723_1055_S55_L001_R2_001	21.890448124956887	63.21727200962614
P9723_1056_S56_L001_R1_001	56.731003053201356	36.52133188028568
P9723_1056_S56_L001_R2_001	35.57384874494511	51.431582170745074
P9723_1057_S57_L001_R1_001	78.95012494005401	14.838208940154956
P9723_1058_S58_L001_R1_001	75.14736984205554	18.946024389146345
P9723_1058_S58_L001_R2_001	39.494555190568335	47.29784457543984
P9723_1059_S59_L001_R1_001	62.37296359862338	30.50491072632024
P9723_1059_S59_L001_R2_001	50.4632167279197	33.90198316065667
P9723_1060_S60_L001_R1_001	66.08341966923756	27.158877249529922
P9723_1060_S60_L001_R2_001	32.31361037565711	53.18051878285565
P9723_1061_S61_L001_R1_001	77.7194338098416	15.740578132134459
P9723_1061_S61_L001_R2_001	35.51157317972674	51.10419374099959
P9723_1062_S62_L001_R1_001	74.33886003607205	19.290945044438175
P9723_1062_S62_L001_R2_001	38.30102783632847	48.113822551554776
P9723_1063_S63_L001_R1_001	58.07391897855918	34.524945859120805
P9723_1063_S63_L001_R2_001	48.0314273691125	37.86628485800207
P9723_1064_S64_L001_R1_001	61.271561694534405	32.44332826647281
P9723_1064_S64_L001_R2_001	35.43667356369755	50.8411157938618
P9723_1065_S65_L001_R1_001	77.1029764028337	17.079914377452724
P9723_1065_S65_L001_R2_001	42.89218184598135	45.350644717394665
P9723_1066_S66_L001_R1_001	66.45679399112116	27.256959036623286
P9723_1066_S66_L001_R2_001	43.193783286086514	45.47538453309697
P9723_1067_S67_L001_R1_001	57.28227639727208	35.26064121658698
P9723_1067_S67_L001_R2_001	20.346476444305086	64.44853805753708
P9723_1068_S68_L001_R1_001	48.29223422361515	44.2564981024825
P9723_1068_S68_L001_R2_001	32.090353780989574	54.10541274448781
P9723_1069_S69_L001_R1_001	76.86932930083616	17.208681729229696
P9723_1069_S69_L001_R2_001	42.704145169898595	45.53237858032378
P9723_1070_S70_L001_R1_001	66.19590754570869	27.460657050230367
P9723_1070_S70_L001_R2_001	42.6052317263647	45.32084684140751
P9723_1071_S71_L001_R1_001	55.863556887084734	36.46049550608901
P9723_1071_S71_L001_R2_001	21.031912391742246	64.80536610803793
P9723_1072_S72_L001_R1_001	43.08243329538829	50.29847016686565
P9723_1072_S72_L001_R2_001	36.71784620225635	50.56686194482234
P9723_1073_S73_L001_R1_001	82.10311023344381	12.062909937231126
P9723_1073_S73_L001_R2_001	45.247901826645034	43.00655899569786
P9723_1074_S74_L001_R1_001	65.29009395088183	26.936706774353098
P9723_1074_S74_L001_R2_001	29.926652381737266	56.20487885281028
P9723_1075_S75_L001_R1_001	71.89419736525299	22.068585973239806
P9723_1075_S75_L001_R2_001	36.19853472293881	49.59515701853959
P9723_1076_S76_L001_R1_001	71.15716753022453	28.842832469775814
P9723_1076_S76_L001_R2_001	25.734024179620036	74.26597582038079
P9723_1077_S77_L001_R1_001	80.4885851388687	13.61131307256072
P9723_1077_S77_L001_R2_001	43.913043478260875	43.203431728951585
P9723_1078_S78_L001_R1_001	65.19769241592796	26.68355142816941
P9723_1078_S78_L001_R2_001	28.769757516063976	56.87256695276959
P9723_1079_S79_L001_R1_001	71.79678846402142	21.822950997913793
P9723_1079_S79_L001_R2_001	36.68259070244705	50.31361063354107
P9723_1080_S80_L001_R1_001	72.32142857142857	27.678571428571544
P9723_1080_S80_L001_R2_001	21.428571428571427	78.57142857142892
P9723_1081_S81_L001_R1_001	78.39236119645095	16.054267947993253
P9723_1081_S81_L001_R2_001	57.844028805269495	30.85014869614374
P9723_1082_S82_L001_R1_001	83.72853564929098	10.890286311465118
P9723_1082_S82_L001_R2_001	46.153083839348454	41.42867439052955
P9723_1083_S83_L001_R1_001	69.30162971884528	24.03647107531333
P9723_1083_S83_L001_R2_001	37.43366329180624	48.65350596559901
P9723_1084_S84_L001_R1_001	56.92771084337349	43.072289156626326
P9723_1084_S84_L001_R2_001	18.67469879518072	81.32530120481883
P9723_1085_S85_L001_R1_001	77.26531953563548	16.7577645583373
P9723_1085_S85_L001_R2_001	56.27234133877015	31.649754874016637
P9723_1086_S86_L001_R1_001	77.1779164519761	16.816472968073114
P9723_1086_S86_L001_R2_001	43.413293639434364	43.80164500677467
P9723_1087_S87_L001_R1_001	69.9245342762151	23.32999102855034
P9723_1087_S87_L001_R2_001	38.47801994828223	49.066441500870745
P9723_1088_S88_L001_R1_001	50.16205240345191	41.524464055605435
P9723_1088_S88_L001_R2_001	44.77722675621852	43.043461283142655
