Sample	Unique Reads	Duplicate Reads
P9723_1001_S1_L001_R1_001	2710.0	196017.0
P9723_1001_S1_L001_R2_001	8189.0	190538.0
P9723_1002_S2_L001_R1_001	3164.0	253698.0
P9723_1002_S2_L001_R2_001	8363.0	248499.0
P9723_1003_S3_L001_R1_001	3587.0	272050.0
P9723_1003_S3_L001_R2_001	12437.0	263200.0
P9723_1004_S4_L001_R1_001	2792.0	197466.0
P9723_1004_S4_L001_R2_001	8118.0	192140.0
P9723_1005_S5_L001_R1_001	3093.0	212164.0
P9723_1005_S5_L001_R2_001	10309.0	204948.0
P9723_1006_S6_L001_R1_001	3416.0	262837.0
P9723_1006_S6_L001_R2_001	9881.0	256372.0
P9723_1009_S9_L001_R1_001	2702.0	150076.0
P9723_1009_S9_L001_R2_001	8301.0	144477.0
P9723_1010_S10_L001_R1_001	2262.0	201620.0
P9723_1010_S10_L001_R2_001	7279.0	196603.0
P9723_1011_S11_L001_R1_001	3103.0	229805.0
P9723_1011_S11_L001_R2_001	10360.0	222548.0
P9723_1012_S12_L001_R1_001	2194.0	161875.0
P9723_1012_S12_L001_R2_001	7781.0	156288.0
P9723_1013_S13_L001_R1_001	3191.0	186342.0
P9723_1013_S13_L001_R2_001	10707.0	178826.0
P9723_1014_S14_L001_R1_001	2756.0	245714.0
P9723_1014_S14_L001_R2_001	9598.0	238872.0
P9723_1015_S15_L001_R1_001	2527.0	173034.0
P9723_1015_S15_L001_R2_001	7099.0	168462.0
P9723_1016_S16_L001_R1_001	2428.0	175501.0
P9723_1016_S16_L001_R2_001	8225.0	169704.0
P9723_1017_S17_L001_R1_001	2500.0	202208.0
P9723_1017_S17_L001_R2_001	7874.0	196834.0
P9723_1018_S18_L001_R1_001	2140.0	245468.0
P9723_1018_S18_L001_R2_001	7511.0	240097.0
P9723_1019_S19_L001_R1_001	2268.0	172807.0
P9723_1019_S19_L001_R2_001	7793.0	167282.0
P9723_1020_S20_L001_R1_001	2419.0	190193.0
P9723_1020_S20_L001_R2_001	8139.0	184473.0
P9723_1021_S21_L001_R1_001	2516.0	235724.0
P9723_1021_S21_L001_R2_001	9894.0	228346.0
P9723_1022_S22_L001_R1_001	2335.0	237403.0
P9723_1022_S22_L001_R2_001	8042.0	231696.0
P9723_1023_S23_L001_R1_001	2160.0	172761.0
P9723_1023_S23_L001_R2_001	7272.0	167649.0
P9723_1024_S24_L001_R1_001	2309.0	198914.0
P9723_1024_S24_L001_R2_001	8716.0	192507.0
P9723_1025_S25_L001_R1_001	2642.0	203438.0
P9723_1025_S25_L001_R2_001	8285.0	197795.0
P9723_1026_S26_L001_R1_001	2773.0	224913.0
P9723_1026_S26_L001_R2_001	8512.0	219174.0
P9723_1027_S27_L001_R1_001	2757.0	226666.0
P9723_1027_S27_L001_R2_001	9589.0	219834.0
P9723_1028_S28_L001_R1_001	2623.0	152450.0
P9723_1028_S28_L001_R2_001	9251.0	145822.0
P9723_1029_S29_L001_R1_001	3094.0	233682.0
P9723_1029_S29_L001_R2_001	10431.0	226345.0
P9723_1030_S30_L001_R1_001	2511.0	116131.0
P9723_1030_S30_L001_R2_001	11628.0	107014.0
P9723_1031_S31_L001_R1_001	2565.0	198217.0
P9723_1031_S31_L001_R2_001	7542.0	193240.0
P9723_1032_S32_L001_R1_001	2017.0	130961.0
P9723_1032_S32_L001_R2_001	6551.0	126427.0
P9723_1033_S33_L001_R1_001	2364.0	174858.0
P9723_1033_S33_L001_R2_001	7507.0	169715.0
P9723_1034_S34_L001_R1_001	2995.0	193686.0
P9723_1034_S34_L001_R2_001	8280.0	188401.0
P9723_1035_S35_L001_R1_001	2899.0	234038.0
P9723_1035_S35_L001_R2_001	9814.0	227123.0
P9723_1036_S36_L001_R1_001	2664.0	218562.0
P9723_1036_S36_L001_R2_001	9366.0	211860.0
P9723_1037_S37_L001_R1_001	3211.0	246838.0
P9723_1037_S37_L001_R2_001	10488.0	239561.0
P9723_1038_S38_L001_R1_001	2975.0	181055.0
P9723_1038_S38_L001_R2_001	9982.0	174048.0
P9723_1039_S39_L001_R1_001	3010.0	236884.0
P9723_1039_S39_L001_R2_001	8741.0	231153.0
P9723_1040_S40_L001_R1_001	2037.0	172000.0
P9723_1040_S40_L001_R2_001	7182.0	166855.0
P9723_1041_S41_L001_R1_001	2444.0	168582.0
P9723_1041_S41_L001_R2_001	7578.0	163448.0
P9723_1042_S42_L001_R1_001	2604.0	147052.0
P9723_1042_S42_L001_R2_001	7626.0	142030.0
P9723_1043_S43_L001_R1_001	2359.0	153282.0
P9723_1043_S43_L001_R2_001	8129.0	147512.0
P9723_1044_S44_L001_R1_001	2429.0	195000.0
P9723_1044_S44_L001_R2_001	7826.0	189603.0
P9723_1045_S45_L001_R1_001	3037.0	191531.0
P9723_1045_S45_L001_R2_001	10130.0	184438.0
P9723_1046_S46_L001_R1_001	3220.0	202980.0
P9723_1046_S46_L001_R2_001	10623.0	195577.0
P9723_1047_S47_L001_R1_001	2494.0	146504.0
P9723_1047_S47_L001_R2_001	7245.0	141753.0
P9723_1048_S48_L001_R1_001	2004.0	150635.0
P9723_1048_S48_L001_R2_001	6377.0	146262.0
P9723_1049_S49_L001_R1_001	1596.0	116912.0
P9723_1049_S49_L001_R2_001	4739.0	113769.0
P9723_1050_S50_L001_R1_001	1656.0	110667.0
P9723_1050_S50_L001_R2_001	4920.0	107403.0
P9723_1051_S51_L001_R1_001	2603.0	135897.0
P9723_1051_S51_L001_R2_001	8438.0	130062.0
P9723_1052_S52_L001_R1_001	2261.0	168771.0
P9723_1052_S52_L001_R2_001	7561.0	163471.0
P9723_1053_S53_L001_R1_001	2367.0	187545.0
P9723_1053_S53_L001_R2_001	7670.0	182242.0
P9723_1054_S54_L001_R1_001	1665.0	98573.0
P9723_1054_S54_L001_R2_001	4946.0	95292.0
P9723_1055_S55_L001_R1_001	2400.0	128077.0
P9723_1055_S55_L001_R2_001	7087.0	123390.0
P9723_1056_S56_L001_R1_001	1696.0	109335.0
P9723_1056_S56_L001_R2_001	5480.0	105551.0
P9723_1057_S57_L001_R1_001	2294.0	156182.0
P9723_1058_S58_L001_R1_001	2207.0	175577.0
P9723_1058_S58_L001_R2_001	8188.0	169596.0
P9723_1059_S59_L001_R1_001	3077.0	219497.0
P9723_1059_S59_L001_R2_001	12004.0	210570.0
P9723_1060_S60_L001_R1_001	2739.0	205749.0
P9723_1060_S60_L001_R2_001	10465.0	198023.0
P9723_1061_S61_L001_R1_001	2874.0	224894.0
P9723_1061_S61_L001_R2_001	10093.0	217675.0
P9723_1062_S62_L001_R1_001	2475.0	181601.0
P9723_1062_S62_L001_R2_001	8795.0	175281.0
P9723_1063_S63_L001_R1_001	3097.0	191765.0
P9723_1063_S63_L001_R2_001	9543.0	185319.0
P9723_1064_S64_L001_R1_001	2465.0	194238.0
P9723_1064_S64_L001_R2_001	9553.0	187150.0
P9723_1065_S65_L001_R1_001	1970.0	154998.0
P9723_1065_S65_L001_R2_001	5716.0	151252.0
P9723_1066_S66_L001_R1_001	1804.0	129069.0
P9723_1066_S66_L001_R2_001	5070.0	125803.0
P9723_1067_S67_L001_R1_001	2350.0	125220.0
P9723_1067_S67_L001_R2_001	7445.0	120125.0
P9723_1068_S68_L001_R1_001	2827.0	178726.0
P9723_1068_S68_L001_R2_001	8524.0	173029.0
P9723_1069_S69_L001_R1_001	2554.0	222286.0
P9723_1069_S69_L001_R2_001	8090.0	216750.0
P9723_1070_S70_L001_R1_001	2032.0	150346.0
P9723_1070_S70_L001_R2_001	6189.0	146189.0
P9723_1071_S71_L001_R1_001	3292.0	192306.0
P9723_1071_S71_L001_R2_001	8992.0	186606.0
P9723_1072_S72_L001_R1_001	1763.0	106288.0
P9723_1072_S72_L001_R2_001	5322.0	102729.0
P9723_1073_S73_L001_R1_001	1838.0	139952.0
P9723_1073_S73_L001_R2_001	5655.0	136135.0
P9723_1074_S74_L001_R1_001	2432.0	118908.0
P9723_1074_S74_L001_R2_001	6198.0	115142.0
P9723_1075_S75_L001_R1_001	1910.0	143455.0
