Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P9723_1001_S1_L001_R1_001	P9723_1001_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	198727.0	0.0	301.0	46.0	1.3636798220674593	301.0	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	fail
P9723_1001_S1_L001_R2_001	P9723_1001_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	198727.0	0.0	301.0	46.0	4.120728436498312	301.0	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	fail
P9723_1002_S2_L001_R1_001	P9723_1002_S2_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	256862.0	0.0	301.0	46.0	1.231789832672797	301.0	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	fail
P9723_1002_S2_L001_R2_001	P9723_1002_S2_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	256862.0	0.0	301.0	46.0	3.2558338718845135	301.0	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	fail
P9723_1003_S3_L001_R1_001	P9723_1003_S3_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	275637.0	0.0	301.0	45.0	1.301349238309806	301.0	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	fail
P9723_1003_S3_L001_R2_001	P9723_1003_S3_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	275637.0	0.0	301.0	46.0	4.512093804532773	301.0	pass	fail	pass	pass	fail	warn	pass	pass	fail	fail	fail
P9723_1004_S4_L001_R1_001	P9723_1004_S4_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	200258.0	0.0	301.0	45.0	1.394201480090683	301.0	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	fail
P9723_1004_S4_L001_R2_001	P9723_1004_S4_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	200258.0	0.0	301.0	46.0	4.053770635879715	301.0	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	fail
P9723_1005_S5_L001_R1_001	P9723_1005_S5_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	215257.0	0.0	301.0	46.0	1.436887069874615	301.0	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	fail
P9723_1005_S5_L001_R2_001	P9723_1005_S5_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	215257.0	0.0	301.0	46.0	4.789159005282058	301.0	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	fail
P9723_1006_S6_L001_R1_001	P9723_1006_S6_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	266253.0	0.0	301.0	46.0	1.2829902386076402	301.0	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	fail
P9723_1006_S6_L001_R2_001	P9723_1006_S6_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	266253.0	0.0	301.0	47.0	3.7111318933495583	301.0	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	fail
P9723_1009_S9_L001_R1_001	P9723_1009_S9_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	152778.0	0.0	301.0	47.0	1.7685792457029152	301.0	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	fail
