Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P9723_1001_S1_L001_R1_001	98.63632017793255	46.0	301.0	45.45454545454545	198727.0
P9723_1001_S1_L001_R2_001	95.87927156350169	46.0	301.0	54.54545454545454	198727.0
P9723_1002_S2_L001_R1_001	98.7682101673272	46.0	301.0	54.54545454545454	256862.0
P9723_1002_S2_L001_R2_001	96.74416612811548	46.0	301.0	54.54545454545454	256862.0
P9723_1003_S3_L001_R1_001	98.69865076169019	45.0	301.0	45.45454545454545	275637.0
P9723_1003_S3_L001_R2_001	95.48790619546723	46.0	301.0	45.45454545454545	275637.0
P9723_1004_S4_L001_R1_001	98.60579851990931	45.0	301.0	45.45454545454545	200258.0
P9723_1004_S4_L001_R2_001	95.94622936412028	46.0	301.0	54.54545454545454	200258.0
P9723_1005_S5_L001_R1_001	98.56311293012538	46.0	301.0	45.45454545454545	215257.0
P9723_1005_S5_L001_R2_001	95.21084099471794	46.0	301.0	54.54545454545454	215257.0
P9723_1006_S6_L001_R1_001	98.71700976139236	46.0	301.0	54.54545454545454	266253.0
P9723_1006_S6_L001_R2_001	96.28886810665044	47.0	301.0	54.54545454545454	266253.0
P9723_1009_S9_L001_R1_001	98.23142075429709	47.0	301.0	45.45454545454545	152778.0
P9723_1009_S9_L001_R2_001	94.56662608490751	47.0	301.0	54.54545454545454	152778.0
P9723_1010_S10_L001_R1_001	98.89053472106414	47.0	301.0	45.45454545454545	203882.0
P9723_1010_S10_L001_R2_001	96.42979762803975	48.0	301.0	54.54545454545454	203882.0
P9723_1011_S11_L001_R1_001	98.66771429062119	45.0	301.0	45.45454545454545	232908.0
P9723_1011_S11_L001_R2_001	95.55189173407526	46.0	301.0	54.54545454545454	232908.0
P9723_1012_S12_L001_R1_001	98.66275774216945	44.0	301.0	45.45454545454545	164069.0
P9723_1012_S12_L001_R2_001	95.25748313209687	45.0	301.0	54.54545454545454	164069.0
P9723_1013_S13_L001_R1_001	98.31638817514629	47.0	301.0	45.45454545454545	189533.0
P9723_1013_S13_L001_R2_001	94.35085183055193	47.0	301.0	54.54545454545454	189533.0
P9723_1014_S14_L001_R1_001	98.89081176802028	47.0	301.0	45.45454545454545	248470.0
P9723_1014_S14_L001_R2_001	96.13715941562361	48.0	301.0	54.54545454545454	248470.0
P9723_1015_S15_L001_R1_001	98.56061425943119	46.0	301.0	45.45454545454545	175561.0
P9723_1015_S15_L001_R2_001	95.95696082843	46.0	301.0	54.54545454545454	175561.0
P9723_1016_S16_L001_R1_001	98.63541075372761	44.0	301.0	45.45454545454545	177929.0
P9723_1016_S16_L001_R2_001	95.37736962496277	45.0	301.0	54.54545454545454	177929.0
P9723_1017_S17_L001_R1_001	98.77874826582254	46.0	301.0	45.45454545454545	204708.0
P9723_1017_S17_L001_R2_001	96.15354553803466	46.0	301.0	54.54545454545454	204708.0
P9723_1018_S18_L001_R1_001	99.13573067106071	46.0	301.0	36.36363636363637	247608.0
P9723_1018_S18_L001_R2_001	96.96657620109205	47.0	301.0	45.45454545454545	247608.0
P9723_1019_S19_L001_R1_001	98.70455519063259	44.0	301.0	45.45454545454545	175075.0
P9723_1019_S19_L001_R2_001	95.54876481507925	45.0	301.0	54.54545454545454	175075.0
P9723_1020_S20_L001_R1_001	98.7441073245696	46.0	301.0	45.45454545454545	192612.0
P9723_1020_S20_L001_R2_001	95.77440657902935	46.0	301.0	54.54545454545454	192612.0
P9723_1021_S21_L001_R1_001	98.94392209536602	47.0	301.0	45.45454545454545	238240.0
P9723_1021_S21_L001_R2_001	95.84704499664204	47.0	301.0	54.54545454545454	238240.0
P9723_1022_S22_L001_R1_001	99.02602007191183	46.0	301.0	36.36363636363637	239738.0
P9723_1022_S22_L001_R2_001	96.6455046759379	47.0	301.0	45.45454545454545	239738.0
P9723_1023_S23_L001_R1_001	98.76515684223163	45.0	301.0	45.45454545454545	174921.0
P9723_1023_S23_L001_R2_001	95.84269470217984	45.0	301.0	54.54545454545454	174921.0
P9723_1024_S24_L001_R1_001	98.85251685940474	47.0	301.0	45.45454545454545	201223.0
P9723_1024_S24_L001_R2_001	95.6684872007673	47.0	301.0	54.54545454545454	201223.0
P9723_1025_S25_L001_R1_001	98.71797360248448	46.0	301.0	45.45454545454545	206080.0
P9723_1025_S25_L001_R2_001	95.97971661490683	47.0	301.0	54.54545454545454	206080.0
P9723_1026_S26_L001_R1_001	98.7825338404645	47.0	301.0	45.45454545454545	227686.0
P9723_1026_S26_L001_R2_001	96.261957256924	47.0	301.0	54.54545454545454	227686.0
P9723_1027_S27_L001_R1_001	98.79828962222619	43.0	301.0	45.45454545454545	229423.0
P9723_1027_S27_L001_R2_001	95.82038418118498	43.0	301.0	54.54545454545454	229423.0
P9723_1028_S28_L001_R1_001	98.30853855925919	45.0	301.0	54.54545454545454	155073.0
P9723_1028_S28_L001_R2_001	94.03442249779137	46.0	301.0	45.45454545454545	155073.0
P9723_1029_S29_L001_R1_001	98.69327972429639	47.0	301.0	45.45454545454545	236776.0
P9723_1029_S29_L001_R2_001	95.5945703956482	47.0	301.0	54.54545454545454	236776.0
P9723_1030_S30_L001_R1_001	97.88354882756528	47.0	301.0	63.63636363636363	118642.0
P9723_1030_S30_L001_R2_001	90.19908632693313	47.0	301.0	54.54545454545454	118642.0
P9723_1031_S31_L001_R1_001	98.72249504437649	44.0	301.0	45.45454545454545	200782.0
P9723_1031_S31_L001_R2_001	96.24368718311402	44.0	301.0	54.54545454545454	200782.0
P9723_1032_S32_L001_R1_001	98.48320774865016	46.0	301.0	54.54545454545454	132978.0
P9723_1032_S32_L001_R2_001	95.07362120049933	46.0	301.0	54.54545454545454	132978.0
P9723_1033_S33_L001_R1_001	98.66664409610544	46.0	301.0	45.45454545454545	177222.0
P9723_1033_S33_L001_R2_001	95.76406992359865	47.0	301.0	54.54545454545454	177222.0
P9723_1034_S34_L001_R1_001	98.47722962563745	46.0	301.0	54.54545454545454	196681.0
P9723_1034_S34_L001_R2_001	95.79013732897432	46.0	301.0	54.54545454545454	196681.0
P9723_1035_S35_L001_R1_001	98.77646800626327	45.0	301.0	45.45454545454545	236937.0
P9723_1035_S35_L001_R2_001	95.8579706841903	45.0	301.0	54.54545454545454	236937.0
P9723_1036_S36_L001_R1_001	98.79580157847631	45.0	301.0	45.45454545454545	221226.0
P9723_1036_S36_L001_R2_001	95.76677244085234	46.0	301.0	54.54545454545454	221226.0
P9723_1037_S37_L001_R1_001	98.71585169306816	47.0	301.0	54.54545454545454	250049.0
P9723_1037_S37_L001_R2_001	95.80562209806878	47.0	301.0	54.54545454545454	250049.0
P9723_1038_S38_L001_R1_001	98.38341574743248	46.0	301.0	54.54545454545454	184030.0
P9723_1038_S38_L001_R2_001	94.57588436667935	46.0	301.0	54.54545454545454	184030.0
P9723_1039_S39_L001_R1_001	98.74527916496453	45.0	301.0	54.54545454545454	239894.0
P9723_1039_S39_L001_R2_001	96.35630736908801	46.0	301.0	54.54545454545454	239894.0
P9723_1040_S40_L001_R1_001	98.82955923165764	46.0	301.0	45.45454545454545	174037.0
P9723_1040_S40_L001_R2_001	95.87329131161765	47.0	301.0	54.54545454545454	174037.0
P9723_1041_S41_L001_R1_001	98.57097751219113	45.0	301.0	45.45454545454545	171026.0
P9723_1041_S41_L001_R2_001	95.56909475752225	46.0	301.0	54.54545454545454	171026.0
P9723_1042_S42_L001_R1_001	98.2600096220666	45.0	301.0	54.54545454545454	149656.0
P9723_1042_S42_L001_R2_001	94.90431389319507	46.0	301.0	45.45454545454545	149656.0
P9723_1043_S43_L001_R1_001	98.48433253448641	45.0	301.0	54.54545454545454	155641.0
P9723_1043_S43_L001_R2_001	94.77708315932178	46.0	301.0	54.54545454545454	155641.0
P9723_1044_S44_L001_R1_001	98.76968429156811	46.0	301.0	54.54545454545454	197429.0
P9723_1044_S44_L001_R2_001	96.0360433370984	47.0	301.0	54.54545454545454	197429.0
P9723_1045_S45_L001_R1_001	98.43910612228116	46.0	301.0	54.54545454545454	194568.0
P9723_1045_S45_L001_R2_001	94.79359401340406	46.0	301.0	45.45454545454545	194568.0
P9723_1046_S46_L001_R1_001	98.43840931134821	45.0	301.0	54.54545454545454	206200.0
P9723_1046_S46_L001_R2_001	94.84820562560621	46.0	301.0	45.45454545454545	206200.0
P9723_1047_S47_L001_R1_001	98.3261520288863	45.0	301.0	54.54545454545454	148998.0
P9723_1047_S47_L001_R2_001	95.13751862441107	46.0	301.0	54.54545454545454	148998.0
P9723_1048_S48_L001_R1_001	98.6870983169439	47.0	301.0	54.54545454545454	152639.0
P9723_1048_S48_L001_R2_001	95.82216864628306	47.0	301.0	54.54545454545454	152639.0
P9723_1049_S49_L001_R1_001	98.65325547642354	46.0	301.0	45.45454545454545	118508.0
