Module	Section	Sample Name	Source
FastQC	all_sections	P9723_1001_S1_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1001_S1_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1001_S1_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1001_S1_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1002_S2_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1002_S2_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1002_S2_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1002_S2_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1003_S3_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1003_S3_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1003_S3_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1003_S3_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1004_S4_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1004_S4_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1004_S4_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1004_S4_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1005_S5_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1005_S5_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1005_S5_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1005_S5_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1006_S6_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1006_S6_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1006_S6_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1006_S6_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1009_S9_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1009_S9_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1009_S9_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1009_S9_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1010_S10_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1010_S10_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1010_S10_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1010_S10_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1011_S11_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1011_S11_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1011_S11_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1011_S11_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1012_S12_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1012_S12_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1012_S12_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1012_S12_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1013_S13_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1013_S13_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1013_S13_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1013_S13_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1014_S14_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1014_S14_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1014_S14_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1014_S14_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1015_S15_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1015_S15_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1015_S15_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1015_S15_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1016_S16_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1016_S16_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1016_S16_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1016_S16_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1017_S17_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1017_S17_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1017_S17_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1017_S17_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1018_S18_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1018_S18_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1018_S18_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1018_S18_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1019_S19_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1019_S19_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1019_S19_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1019_S19_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1020_S20_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1020_S20_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1020_S20_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1020_S20_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1021_S21_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1021_S21_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1021_S21_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1021_S21_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1022_S22_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1022_S22_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1022_S22_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1022_S22_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1023_S23_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1023_S23_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1023_S23_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1023_S23_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1024_S24_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1024_S24_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1024_S24_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1024_S24_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1025_S25_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1025_S25_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1025_S25_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1025_S25_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1026_S26_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1026_S26_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1026_S26_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1026_S26_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1027_S27_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1027_S27_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1027_S27_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1027_S27_L001_R2_001_fastqc.zip
